id	name
syn21991197	dufva_mw_hgt_pval_normal_expressed.Rdata
syn21991203	DUFVA_TCGA_AML_FM_meth.Rdata
syn21991204	DUFVA_TCGA_DLBCL_FM_meth.Rdata
syn21991205	Fig1B_S1C.pdf
syn21991206	Fig1F.pdf
syn21991207	Fig1G.pdf
syn21991208	Fig1H.pdf
syn21991209	Fig3K_IFNG_analysis.pdf
syn21991210	Fig4G_CIITA_CpG_Volcanoplot.pdf
syn21991211	Fig4H_boxplot_CIITA_CpG.pdf
syn21991212	Fig5B_ALL.pdf
syn21991213	Fig5B_AML.pdf
syn21991214	Fig5B_DLBCL.pdf
syn21991215	Fig5B_MM.pdf
syn21991217	Fig6C_FigS6B_HEMAP_CGA_heatmap.pdf
syn21991218	Fig6D_CCLE_ComplexHeatmap_testis_antigens.pdf
syn21991219	Fig6H_FigS6H__GSE98588_DLBCL_ABC_CGA_heatmap.pdf
syn21991220	Fig6H_FigS6H__GSE98588_DLBCL_CGA_heatmap.pdf
syn21991221	Fig6H_FigS6H_GSE98588_DLBCL_ABC_CGA_heatmap.pdf
syn21991222	Fig6H_FigS6H_GSE98588_DLBCL_GCB_CGA_heatmap.pdf
syn21991223	Fig7A_univariate_forestPlot.pdf
syn21991224	Fig7B_KM_VISTA.pdf
syn21991225	Fig7D_KM_CD163_LYZ.pdf
syn21991227	Fig7E_Chapuy_model_fm_complexheatmap.pdf
syn21991228	Fig7E_CoMMpass_model_fm_complexheatmap.pdf
syn21991229	Fig7F_Chapuy_model_fm_complexheatmap.pdf
syn21991230	Figre2B_NormalCells.pdf
syn21991231	FigS1GtoI.pdf
syn21991232	FigS3O_IFNG_analysis_vln.pdf
syn21991233	FigS4D_Global_hypermethylation_HLAIIlow_TCGA_clusters.pdf
syn21991234	FigS4J_GSE49031_CIITA_methylation.pdf
syn21991236	FigS4K_CCLE_CIITA_methylation.pdf
syn21991237	FigS4L_Euclidean.pdf
syn21991238	FigS5A_FigS3D_Fig6E_FigS6F_subtypes_scatterplot.pdf
syn21991239	FigS5B_dotplot.pdf
syn21991240	FigS5C_VISTA_FIMM_dotplot.pdf
syn21991241	FigS6B_TSNE_CGA_hemap.pdf
syn21991242	FigS6F_TSNE_CGA_hemap_MM_subtypes.pdf
syn21991243	FigS6G_CGA_GSVA_GSE16716_GSE24080.pdf
syn21991244	FigS6I_GSE98588_DLBCL_ABC_CytScore.pdf
syn21991245	FigS7A_CGA_CoMMpass.pdf
syn21991246	FigS7A_CGA_Hemap.pdf
syn21991247	FigS7B_univariate_pancan_forestPlot.pdf
syn21991248	FigS7C_MM_model_cox.pdf
syn21991249	FigS7D_DLBCL_model_cox.pdf
syn21991250	FigS7E_Risk_AML_validation.pdf
syn21991251	FigS7F_Subset_data_model.pdf
syn21991252	FigS7G_BeatAML_model_fm_complexheatmap.pdf
syn21991253	Figure_S3M_FIMM_AML_reclustered_Tcell.pdf
syn21991254	Figure1C_AML_cytolytic_score_flow_scatter.pdf
syn21991255	Figure2A.pdf
syn21991256	Figure2A.pdf-g48-683.png
syn21991257	Figure2B.pdf
syn21991258	Figure3A_DLBCL_cytscore_oncoprint.pdf
syn21991260	Figure3BC_DLBCL_cytscore_boxplots.pdf
syn21991261	FIgure3D_TCGA_AML_cytscore_oncoprint.pdf
syn21991262	Figure3E_FigureS3D.pdf
syn21991263	Figure3F.pdf_fm_scatterplot.pdf
syn21991264	Figure3G.pdf_fm_scatterplot.pdf
syn21991265	Figure3H_blast_proportion_HCA.pdf
syn21991266	Figure3H_blast_proportion.pdf
syn21991267	Figure3H_CTL_NK_proportion_HCA.pdf
syn21991268	Figure3H_CTL_NK_proportion.pdf
syn21991269	Figure3I_Density_MDSlike_Tcell.pdf
syn21991271	Figure3I_FigureS3M_Szabo_markers_FIMM_AML_HCA_Tcells_Scores_blend.pdf
syn21991272	Figure3J_Density_MDSlike_NKcell.pdf
syn21991273	Figure3J_Yang_markers_FIMM_AML_HCA_Yang_NKcells_Scores_blend.pdf
syn21991275	Figure3K_CellPhoneDB.pdf
syn21991276	Figure4D_TCGA_AML_ComplexHeatmap_CIITA_gexp.pdf
syn21991277	Figure5A_Hemap_ligands_heatmap.pdf
syn21991278	Figure5C_TCGA_AML_ligand_correlations_volcanoplot.pdf
syn21991279	Figure5D_DLBCL_GSE98588_CD70_boxplot.pdf
syn21991280	Figure5D_DLBCL_GSE98588_ligand_correlations_volcanoplot.pdf
syn21991281	Figure5E_PDL1_IHC_boxplot.pdf
syn21991282	Figure5F_VISTA_IHC_boxplot.pdf
syn21991283	Figure5G_CD70_CRISPR_T_cell_stimulation.pdf
syn21991284	Figure6D_CCLE_CGA_heatmap.pdf
syn21991285	Figure6F_CoMMpass_CGA_subtype_boxplot.pdf
syn21991286	Figure6G_CoMMpass_CGA_oncoprint.pdf
syn21991287	Figure6H_DLBCL_GSE98588_CGA_oncoprint.pdf
syn21991288	FigureS1E_AML_cytolytic_score_flow_TNKseparately_scatter.pdf
syn21991289	FigureS2A.pdf
syn21991290	FigureS2B.pdf
syn21991291	FigureS2C.pdf
syn21991292	FigureS2D.pdf
syn21991293	FigureS2E.pdf
syn21991294	FigureS3B_DLBCL_ABC_cytscore_oncoprint.pdf
syn21991295	FigureS3C_DLBCL_GCB_cytscore_oncoprint.pdf
syn21991296	FigureS3K.pdf
syn21991297	FigureS3L.pdf
syn21991298	FigureS3M_singleR_fm_scatterplot.pdf
syn21991299	FigureS3M_Szabo_markers_FIMM_AML_HCA_Tcells_Scores_scaled.pdf
syn21991300	FigureS3N_NK_FIMM_AML_reclustered.pdf
syn21991301	FigureS3N_Yang_markers_FIMM_AML_HCA_Yang_NKcells_Scores_scaled.pdf
syn21991302	FigureS4A_HLAII_Significant_genes.pdf
syn21991303	FigureS4B_HLAII_corHeatmap2.pdf
syn21991307	FigureS4C_AML_HLAIIscore_flow_RNAseq_scatter.pdf
syn21991308	FigureS5F_TCGA_DLBCL_ligand_correlations_volcanoplot.pdf
syn21991309	FigureS5G_DLBCL_GSE98588_MICB_TNFRSF14_CD274_PDCD1LG2_boxplot.pdf
syn21991310	FigureS6C_Hemap_CGA_dotplots.pdf
syn21991311	FigureS6D_TCGA_DLBCL_AML_methylation_MAGEB1_heatmap.pdf
syn21991312	FigureS6D_TCGA_DLBCL_AML_methylation_MAGEB2_heatmap.pdf
syn21991313	FigureS6E_CoMMpass_CGA_heatmap.pdf
syn21991314	FIMM_AML_erythroid_genes.pdf
syn21991316	FIMM_AML_HCA_T_scRNA.Rdata
syn21991317	FIMM_AML_HCA_Yang_NK_scRNA.Rdata
syn21991318	FIMM_AML_HSC_genes.pdf
syn21991319	FIMM_AML_Lineage_fm_scatterplot.pdf
syn21991320	FIMM_AML_MDS_samples_fm_scatterplot.pdf
syn21991338	FIMM_AML_scRNA.Rdata
syn21991339	GPL13534_HumanMethylation450_15017482_v.1.1.csv
syn21991340	GSE49031_ciita.txt
syn21991350	GSE49031_processed.txt
syn21991351	GSE86952_gsm2patient.txt
syn21991352	GSE98588_annot.Rdata
syn21991353	GSE98588_DLBCL_ABC_HLA.pdf
syn21991354	GSE98588_DLBCL_ABC_HLAII.pdf
syn21991355	GSE98588_DLBCL_ABC_TNFA.pdf
syn21991356	GSE98588_DLBCL_mixtureM_profile.Rdata
syn21991357	GSE98588_DLBCL_survival_data.Rdata
syn21991358	GSE98588_fm.Rdata
syn21991359	GSE98588_symbol_rma_normalized.Rdata
syn21991360	GSEA
syn21994862	GSVA_MM_COMPASS_scores.Rdata
syn21994863	GTEx_Analysis_v6p_RNA-seq_RNA-SeQCv1.1.8_gene_median_rpkm.gct
syn21994864	GTEx_Analysis_v6p_RNA-seq_RNA-SeQCv1.1.8_gene_median_rpkm.txt
syn21994865	HALLMARKS.gmt
syn21994866	HCA_erythroid_genes.pdf
syn21994867	HCA_HSC_erythroid_genes_filt.pdf
syn21994868	HCA_HSC_genes.pdf
syn21995190	HCA_scRNA.Rdata
syn21995192	Hemap_ALL_subtypes.Rdata
syn21995194	Hemap_AML_cox_datasets_filt_adj20_revision.Rdata
syn21995203	Hemap_AML_subtypes.Rdata
syn21995208	Hemap_AML_survival_data.Rdata
syn21995211	Hemap_cytolytic_correlated_genes_TableS2_onlysignif.Rdata
syn21995212	Hemap_cytolytic_correlated_genes_TableS2.txt
syn21995213	Hemap_DLBCL_cox_datasets_filt_adj20_revision.Rdata
syn21995214	Hemap_DLBCL_subtypes.Rdata
syn21995215	Hemap_DLBCL_survival_data.Rdata
syn21995216	Hemap_immunology_Annotations.Rdata
syn21995217	Hemap_microenvironment_summary_statistics.Rdata
syn21995218	Hemap_MM_cox_datasets_filt_adj20_revision.Rdata
syn21995219	Hemap_MM_subtypes.Rdata
syn21995234	Hemap_MM_survival_data.Rdata
syn21995235	HLAII_low_samples_Zscore_minus1.txt
syn21995236	HLAIIScore_APC_nonAPC_Allgroups.Rdata
syn21995237	HLAIIScore_APC_nonAPC.Rdata
syn21995238	LAML.rnaseqv2.counts.Rdata
syn21995239	ligands.xlsx
syn21995240	logical_matrix_subtypes_GSE47051.txt
syn21995241	markers.all.filt.allgenes.Rdata
syn21995242	MCP_counter_data.Rdata
syn21995243	MDS_genesets.Rdata
syn21995244	MDS_signature_markers_celltype_AML.txt
syn21995403	meth_hlalow_pml.Rdata
syn21995419	mixtureM_profile.Rdata
syn21995423	MM_COMPASS_ANNOT.Rdata
syn21995455	MM_COMPASS_FM.Rdata
syn21995456	MM_model_cox_subset.pdf
syn21995479	myDiffSigboth_hlalow_pml.Rdata
syn21995481	pdl1_ihc.txt
syn21995497	Pecan_ALL_835_subtypes.Rdata
syn21995526	PecanALL_subtypes.Rdata
syn21995527	probenames.txt
syn21995528	REDDY_DLBCL_annot.Rdata
syn21995529	REDDY_DLBCL_fm.Rdata
syn21995531	Reddy_DLBCL_subtypes.Rdata
syn21995553	Reddy_DLBCL_survival_data.Rdata
syn21995556	refGene_coding_transcripts.bed
syn21995561	refGene_non_coding_transcripts.bed
syn21995565	reRMA210915.RData
syn21995568	Risk_MM_validation.pdf
syn21995569	Rplots.pdf
syn21995573	Szabo_HCA_AML_cluster_cell.Rdata
syn21995610	Szabo_Tcell_BM_scRNA.Rdata
syn21995612	Szabo_Tcell_markers.txt
syn21995615	t.antigen_df.txt
syn21995617	TableS2.txt
syn21995621	TableS3_BeatAML_cytscore_correlations.tsv
syn21995624	TableS3_GSE98588_DLBCL_CytScore_correlations_ABC_all.tsv
syn21995628	TableS3_GSE98588_DLBCL_CytScore_correlations_ABC.tsv
syn21995632	TableS3_GSE98588_DLBCL_CytScore_correlations_GCB_all.tsv
syn21995635	TableS3_GSE98588_DLBCL_CytScore_correlations_GCB.tsv
syn21995637	TableS3_GSE98588_DLBCL_CytScore_correlations.tsv
syn21995638	TableS3_MDS_signature_markers_celltype_AML.txt
syn21995640	TableS3_MDS_signature_markers_celltype_HCA.txt
syn21995641	TableS3_MDSlike_DE_pathways_up.txt
syn21995643	TableS3_Reddy_DLBCL_CytScore_correlations_ABC.tsv
syn21995644	TableS3_Reddy_DLBCL_CytScore_correlations_GCB.tsv
syn21995645	TableS3_Reddy_DLBCL_CytScore_correlations.tsv
syn21995646	TableS3_Significant_genes_MDSlike_bulk.txt
syn21995647	TableS3_Significant_genes_MDSlike_scRNA_all.txt
syn21995648	TableS3_TCGA_AML_cytScore_correlations.tsv
syn21995649	TableS4_BeatAML_HLAscore_correlations.tsv
syn21995650	TableS4_CoMMpass_MM_HLA_correlations.tsv
syn21995651	TableS4_GSE98588_DLBCL_HLA_correlations_ABC.tsv
syn21995652	TableS4_GSE98588_DLBCL_HLA_correlations_GCB.tsv
syn21995653	TableS4_GSE98588_DLBCL_HLA_correlations.tsv
syn21995654	TableS4_HLAIIScore_APC_genes.txt
syn21995655	TableS4_Reddy_DLBCL_HLA_correlations_ABC.tsv
syn21995656	TableS4_Reddy_DLBCL_HLA_correlations_GCB.tsv
syn21995657	TableS4_Reddy_DLBCL_HLA_correlations.tsv
syn21995659	TableS4_TCGA_AML_CIITA_correlations.tsv
syn21995660	TableS4_TCGA_AML_HLA_correlations.tsv
syn21995661	TableS5_ALL_costim_DEgenes.txt
syn21995662	TableS5_AML_costim_DEgenes.txt
syn21995663	TableS5_BeatAML_coStim_correlations.tsv
syn21995664	TableS5_CoMMpass_MM_costim_correlations.tsv
syn21995665	TableS5_DLBCL_costim_DEgenes.txt
syn21995666	TableS5_GSE98588_DLBCL_costim_correlations_ABC.tsv
syn21995667	TableS5_GSE98588_DLBCL_costim_correlations_GCB.tsv
syn21995668	TableS5_GSE98588_DLBCL_costim_correlations.tsv
syn21995669	TableS5_MM_costim_DEgenes.txt
syn21995670	TableS5_Reddy_DLBCL_costim_correlations_ABC.tsv
syn21995671	TableS5_Reddy_DLBCL_costim_correlations_GCB.tsv
syn21995672	TableS5_Reddy_DLBCL_costim_correlations.tsv
syn21995673	TableS5_TCGA_AML_costim_LR_correlations.tsv
syn21995674	TableS6_CoMMpass_MM_antigen_correlations.tsv
syn21995675	TableS6_CoMMpass_MM_nCGA_correlations.tsv
syn21995677	TableS6_GSE98588_DLBCL_antigen_correlations_ABC.tsv
syn21995678	TableS6_GSE98588_DLBCL_antigen_correlations_GCB.tsv
syn21995679	TableS6_GSE98588_DLBCL_antigen_correlations.tsv
syn21995680	tableS7_beatAML_signif.tsv
syn21995681	tableS7_beatAML.tsv
syn21995682	tableS7_CoMMpass_signif.tsv
syn21995686	tableS7_CoMMpass.tsv
syn21995688	TableS7_cox.xlsx
syn21995689	tableS7_GSE98588_DLBCL_signif.tsv
syn21995690	tableS7_GSE98588_DLBCL.tsv
syn21995691	tableS7_Hemap_AML_signif.tsv
syn21995693	tableS7_Hemap_AML.tsv
syn21995694	tableS7_Hemap_DLBCL_CHOP_signif.tsv
syn21995695	tableS7_Hemap_DLBCL_CHOP.tsv
syn21995696	tableS7_Hemap_DLBCL_RCHOP_signif.tsv
syn21995697	tableS7_Hemap_DLBCL_RCHOP.tsv
syn21995698	tableS7_Hemap_MM_GSE19784_signif.tsv
syn21995699	tableS7_Hemap_MM_GSE19784.tsv
syn21995700	tableS7_Hemap_MM_GSE24080_signif.tsv
syn21995702	tableS7_Hemap_MM_GSE24080.tsv
syn21995703	tableS7_Reddy_DLBCL_signif.tsv
syn21995704	tableS7_Reddy_DLBCL.tsv
syn21995705	tableS7_TCGA_AML_signif.tsv
syn21995706	tableS7_TCGA_AML.tsv
syn21995707	TCGA_AML_DLBCL_ligand_differential_expression_methylation_supplement.csv
syn21995719	TCGA_AML_FM_DUFVA.Rdata
syn21995720	TCGA_AML_meth_probes_genelist.Rdata
syn21995721	TCGA_AML_subtypes.Rdata
syn21995722	TCGA_AML_survival_data.Rdata
syn21995724	TCGA_DLBCL_CGA_correlations.tsv
syn21995726	TCGA_DLBCL_costim_LR_correlations.tsv
syn21995728	TCGA_DLBCL_cytScore_correlations.tsv
syn21995730	TCGA_DLBCL_FM_DUFVA.Rdata
syn21995731	TCGA_DLBCL_HLA_correlations.tsv
syn21995732	TCGA_DLBCL_meth_probes_genelist.Rdata
syn21995733	temp
syn21996587	uniprot-all_netMHCpan3.0_strongbinders_genesymbols.csv
syn21996590	uniprot-all.fasta
syn21996592	vista_ihc.txt
syn21996593	Yang_2019_allgenes.txt
syn21996594	Yang_2019.txt
syn21996595	Yang_HCA_AML_cluster_cell.Rdata
